"Action","Acção"
"All types","Todos os tipos"
"Backup file ""%s"" can't read or write","Ficheiro de cópia de segurança ""%s"" não é possível ler ou escrever"
"Backup file ""%s"" doesn't exist","O ficheiro de cópia de segurança ""%s"" não existe"
"Backup file doesn't exist","O ficheiro de cópia de segurança não existe"
"Backup file handler don't specify","handler"" do ficheiro da cópia de segurança não especificado"""
"Backup file path don't specify","Caminho do ficheiro de cópia de segurança não epcificado"
"Backups","Cópias de segurança"
"Cannot read backup file","Não é possível ler a cópia de segurança"
"Create Backup","Criar cópia segurança"
"DB","BD"
"Database was successfuly backed up.","Cópia de segurança da Base de Dados correctamente criada"
"Download","Descarregar"
"Error write to Backup file ""%s""","Erro ao escrever para o ficheiro de cópia de segurança ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Ficheiro comprimido com Zlib, mas a extensão não está instalada"
"Size, byte","Tamanho, byte"
"Time","Hora"
"Type","Tipo"
"Unable to create backup. Please, try again later.","Não foi possível criar a cópia de segurança. Por favor tente novamente mais tarde."
"Wrong order of creation for new backup","Ordem de criação de cópia de segurança errada"
