" Copy","Copiar"
"Action","Acção"
"Add New Template","Adicionar novo Template"
"Add to Queue","Adicionar à lista de espera"
"Are you sure that you want to delete this template?","Tem a certeza que deseja remover o Template?"
"Are you sure that you want to strip all tags?","Tem a certeza que deseja remover todas as etiquetas?"
"Back","Voltar"
"Cancel","Cancelar"
"Cancelled","Cancelado"
"Cannot delete subscriber","Não é possível remover o subscritor"
"Cannot delete template","Não é possível remover o Template"
"Cannot mark as received subscriber","Não é possível marcar como subscritor inscrito"
"Cannot save your subscription: %s","Não é possível guardar a sua subscrição: %s"
"Confirmation Email Sender","Remetente do Email de Confirmação"
"Confirmation Email Template","Template Confirmação Email"
"Confirmation request has been sent","Foi enviado o pedido de confirmação"
"Convert to Plain Text","Converter para texto"
"Create Newsletter Template","Criar Template de Newsletter"
"Customer","Cliente"
"Customer Firstname","Primeiro Nome Cliente"
"Customer Lastname","Apelido do Cliente"
"Date Added","Data adicionado"
"Date Updated","Data de actualização"
"Delete Selected Problems","Remover problemas seleccionados"
"Delete Template","Remover Template"
"Do you really want to cancel the queue?","Tem a certeza que deseja cancelar a lista de espera?"
"Duplicate of template code","Duplicado do código de Template"
"Edit Newsletter","Editar Newsletter"
"Edit Newsletter Template","Editar Template de Newsletter"
"Edit Queue","Editar lista de espera"
"Edit Template","Editar Template"
"Email","Email"
"Enter your email address","Insira o seu endereço de email"
"Error Code","Código de Erro"
"Error Text","Mensagem erro"
"Form was filled incorrectly","O formulário foi preenchido incorrectamente"
"Guest","Convidado"
"ID","ID"
"Invalid queue selected","Fila inválida seleccionada"
"Invalid subscriber ID","ID de subscritor inválida"
"Invalid subscription ID","ID de subscrição inválida"
"Invalid subscription confirmation code","Código de confirmação de subscrição inválido"
"Message","Mensagem"
"Need to Confirm","Necessita de Confirmação"
"New Newsletter Template","Novo Template de Newsletter"
"New Template","Novo Template"
"Newsletter","Newsletter"
"Newsletter Message Preview","Pré-Visualização de Mensagens na Newsletter"
"Newsletter Problem Reports","Relatório de Problemas na Newsletter"
"Newsletter Queue","Lista de Newsletters"
"Newsletter Section","Secção de Newsletter"
"Newsletter Sign-up","Subscrição Newsletter"
"Newsletter Subscribers","Subscritores da Newsletter"
"Newsletter Subscription","Subscrição Newsletter"
"Newsletter Subscriptions","Subscrições da Newsletter"
"Newsletter Templates","Modelos da Newsletter"
"Newsletter subscription confirmation","Confirmação Subscrição de newsletter"
"Newsletter subscription success","Sucesso subscrição de newsletter"
"Newsletter unsubscription success","Sucesso cancelamento subscrição newlsetter"
"No Templates Found","Não Foram Encontrados Templates"
"No problems found","Não foram encontrados problemas"
"No subscribers selected","Não foram seleccionados quaisquer subscritores"
"Not Sent","Não enviado"
"Not activated","Inactivo"
"Pause","Pausa"
"Paused","Pausado"
"Please enter a valid email address","Por favor insira um email válido"
"Please enter new template name","Por favor insira um novo nome do Template"
"Please select subscriber(s)","Por favor seleccione os subscritores"
"Preview","Pré-visualizar"
"Preview Template","Pré-visualizar Template"
"Processed","Processado"
"Queue Date Start","Data início da Lista de Espera"
"Queue Finish","Lista de Espera Terminada"
"Queue Information","Informação da lista"
"Queue Newsletter","Lista de espera da Newsletter"
"Queue Start","Início Lista de Espera"
"Queue Subject","Assunto lista espera"
"Recipients","Destinatários"
"Reset","Redefinir"
"Resume","Continuar"
"Return Html Version","Voltar à Versão HTML"
"Save And Resume","Guardar e continuar"
"Save As","Guardar Como"
"Save Newsletter","Guardar Newsletter"
"Save Template","Guardar Template"
"Selected problem subscribers successfully unsubscribed","Os subscritores seleccionados com problemas foram removidos da lista de inscrição"
"Selected problems successfully deleted","Problemas seleccionados correctamente removidos"
"Sender","Remetente"
"Sender Email","Email do remetente"
"Sender Name","Nome Remetente"
"Sending","A Enviar"
"Sending Options","Opções de Envio"
"Sent","Enviado"
"Set Return-Path","Definir Return-Path"
"Sign me up","inscreva-me"
"Sign up for our newsletter:","Subscreve a nossa Newsletter:"
"Start","Iniciar"
"Status","Estado"
"Store","Loja"
"Store View","Vista Loja"
"Subject","Assunto"
"Subscribe","Subscrever"
"Subscribed","Inscrito"
"Subscriber","Subscritor"
"Subscribers","Subscritores"
"Subscribers From","Subscritores de"
"Subscription Options","Opções de subscrição"
"Success Email Sender","Remetente Email Sucesso"
"Success Email Template","Template Email Sucesso"
"Template Content","Conteúdo do Template"
"Template Information","Informação do Template"
"Template Name","Nome do Template"
"Template Subject","Assunto Template"
"Template Type","Tipo de Template"
"Thank you for your subscription","Obrigado pela sua subscrição"
"The subscription was successfully saved","A subscrição foi correctamente guardada"
"There was a problem with the subscription","Ocorreu um problema com a subscrição"
"There was a problem with the subscription: %s","Existe um problema com a subscrição: %s"
"There was a problem with the un-subscription.","Ocorreu um problema com o cancelamento de subscrição."
"There was an error while saving your subscription","Ocorreu um erro enquanto guardava a sua subscrição"
"Toggle Editor","Mudar Editor"
"Type","Tipo"
"Unsubscribe","Cancelar Subscrição"
"Unsubscribe Selected","Cancelar subscrição de seleccionado"
"Unsubscribed","Não inscrito"
"Unsubscription Email Sender","Remetente do Email de Cancelamento de Inscrição"
"Unsubscription Email Template","Template do Email de Cancelamento de Inscrição"
"View Newsletter","Ver Newsletter"
"Website","Site"
"You have been successfully unsubscribed.","Cancelou a sua subscrição correctamente"
"Your subscription was successfully confirmed","A sua subscrição foi confirmada com sucesso"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","Sign up for our newsletter"
"Newsletter Subscriptions","Newsletter Subscriptions"
