"Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text.","Exemplo: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Onde &lt;user_action&gt; é 'commit' ou 'continue', dependendo da sua preferência no botão de submissão."
"API Password","Palavra-passe API"
"API Signature","Assinatura API"
"API User Name","Nome Utilizador API"
"Amex","Amex"
"Authorization","Autorização"
"Authorize and Capture","Autorizar e proceder"
"Billing Information","Informação de Facturação"
"Business Account","Conta Empresa"
"Business Name","Nome Empresa"
"Card Verification Number","Número de verificação do cartão de crédito"
"Change Payment Method","Alterar Método de Pagamento"
"Change Shipping Address","Alterar Endereço de Envio"
"Credit Card Number","Número cartão crédito"
"Credit Card Number: xxxx-%s","Número do Cartão de Crédito: xxxx-%s"
"Credit Card Type","Tipo cartão de crédito"
"Credit Card Type: %s","Tipo de cartão de crédito: %s"
"Credit Card Types","Tipos de Cartão de Crédito"
"Customer returned from PayPal site.","Cliente voltou do site Paypal"
"Debug Flag","Marcador de depuração"
"Discover","Discover"
"Edit Shopping Cart","Editar Carrinho de Compras"
"Enabled","Activo"
"Error in creating an invoice","Erro ao criar factura"
"Error in refunding the payment","Erro ao reembolsar o pagamento"
"Expiration Date","Data de expiração"
"Expiration Date: %s/%s","Data Validade: %s/%s"
"Incl. Tax","Incl. Imposto"
"Invalid transaction id","Id de transação inválido"
"Invoice #%s created","Factura #%s criada"
"Issue Number","Número Edição"
"Items in Your Shopping Cart","Itens no seu Carrinho de Compras"
"MasterCard","MasterCard"
"Maximum image size is 750x90 px.","Tamanho máximo da imagem é 750x90 px."
"N/A","N/D"
"Name on Card","Nome no cartão"
"Name on the Card: %s","Nome no Cartão: %s"
"New order status","Estado da nova encomenda"
"No shipping method required.","Não é necessário método de envio"
"Order","Encomenda"
"Order total amount does not match paypal gross total amount","Total da encomenda nã coincide com o total do Paypal"
"Page Style","Estilo da Página"
"PayPal Accounts","Contas Paypal"
"PayPal Email","Email Paypal"
"PayPal Express Checkout","PayPal Express Checkout"
"PayPal Uk Account","Conta Paypal UK"
"PayPal Website Payments Pro - Direct Payments","PayPal Website Payments Pro - Direct Payments"
"PayPal Website Payments Standard","PayPal Website Payments Standard"
"Payment Action","Acção Pagamento"
"Payment Method","Método de Pagamento"
"Payment from Specific countries","Pagamento de países específicos"
"Payment from applicable countries","pagamento permitido aos países"
"Paypal Checkout","Finalizar encomenda com Paypal"
"Paypal IPN Invalid %s.","IPN Paypal inválido %s."
"Paypal Logo Image URL","URL do logótipo Paypal"
"Paypal URL","URL Paypal"
"Place an Order","Colocar Encomenda"
"Please select a shipping method...","Por favor seleccione um método de envio"
"Please select a valid shipping method","Por favor seleccione um método de envio válido"
"Price","Preço"
"Problem during communication with PayPal","Ocorreu um problema durante a comunicação com Paypal"
"Product Name","Nome do Produto"
"Proxy Host","Servidor Proxy"
"Proxy Port","Porta Proxy"
"Qty","Qt"
"Received IPN verification","Verificação IPN recebida"
"Review Order","Rever Encomenda"
"Sale","Venda"
"Sandbox Flag","Sandbox Flag"
"Selected currency code (","Seleccionar o código de Moeda"
"Shipping Address","Endereço de Envio"
"Shipping Information","Informação de Envio"
"Shipping Method","Método de Envio"
"Sorry, no quotes are available for this order at this time.","Pedimos desculpa, mas de momento não existem câmbios disponíveis para esta encomenda."
"Sort order","Ordem Apresentação"
"Start Date","Data início"
"Submitting order information...","A enviar informação de encomenda..."
"Subtotal","Sub-total"
"Switch/Solo Only","Apenas Switch/Solo"
"Switch/Solo card issue number: %s","Número de Emissão Cartão Switch/Solo: %s"
"Switch/Solo card start Date: %s/%s","Data de Início para cartão Switch/solo: %s/%s"
"There has been an error processing your payment. Please try later or contact us for help.","Ocorreu um erro ao processar o seu pagamento. Por favor tente mais tarde ou entre em contacto connosco"
"There was an error connecting to the Paypal server: %s","Ocorreu um erro ao conectar ao servidor Paypal: %s"
"There was an error during communication with Paypal: %s - %s","Ocorreu um erro durante a comunicação com o Paypal: %s - %s"
"Title","Título"
"Transaction Type","Tipo Transacção"
"Type","Tipo"
"Unknown PayPal API error: %s","Erro de API Paypal desconhecido: %s"
"Update Shipping Method","Actualizar Método de Envio"
"Use Proxy","Usar Proxy"
"Visa","Visa"
"Website Payments Pro and Express Checkout (API Signature)","Website Payments Pro e Express Checkout (API Signature)"
"Website Payments Standard","Website Payments Standard"
"What is this?","O que é isto?"
"You will be redirected to Paypal in a few seconds.","Será redireccionado para o site da Paypal dentro de alguns segundos"
"Your billing address will be ignored and you will be redirected to PayPal UK website","O seu endereço de facturação será ignorado e será redireccionado para o site da Paypal UK"
