"Add Recipient","Adicionar destinatário"
"Allow for Guests","Permitir para visitantes"
"Email Address","Endereço de Email"
"Email Address:","Endereço de Email:"
"Email templates","Email Template"
"Email to a Friend","Enviar por email a um amigo"
"Email:","Email:"
"Enabled","Activo"
"Limit Sending By","Limitir o envio a"
"Link to a friend was sent.","Foi enviado o link para o seu amigo"
"Max Products Sent in 1 Hour","Máximo produtos enviados por hora"
"Max Recipients","Máximo de destinatários"
"Maximum %d email addresses allowed.","Máximo de emails permitidos %d."
"Message:","Mensagem:"
"Name","Nome"
"Name:","Nome:"
"Recipient:","Remetente:"
"Remove Email","Remover Email"
"Select email template","Seleccionar o template do email"
"Send email","Enviar email"
"Send product to a friend","Enviar o Produto a um amigo"
"Sender:","Remetente:"
"Some emails was not sent","Alguns emails não foram enviados"
"Some problems with data.","Alguns problemas com os dados"
"You cannot email this product to a friend","Não pode enviar este produto por email para um amigo"
"You cannot send more than %d times in an hour","Não pode enviar mais de %d emails por hora"
